ALL SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ENGLAND SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDWEST SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPAN SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANADA SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUROPE SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public, Chairlift-Served U.S.
Ski Areas Without National Pass
Affiliation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaunertaler Glacier,"3,159 ",,394,Independent,Indy,1,,2,,,,,,2,,,,,,,3,,,,1,9,,,,,,2,,2024,Europe - Austria,,,U.S. - Indiana,Paoli Peaks,300 ,65,18,Vail Resorts,Epic,,,,,,,,,,1,3,,1,,,,,,,2,7,U,U,,,,,,2019,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plattekill,"1,100 ",119,175,Independent,,,,,,,,,,,,1,,1,,,,,,,1,3,,,,,,,,,U.S. - East
,Kitzbühel,"3,950 ","1,421",,Independent,Ikon,,,,,,,,,,,,,,,,,,,,,57,,,7,5,,,,2021,Europe - Austria,,,U.S. - Iowa,Sundown,475 ,85,50,Independent,Indy,,,,,,,,,,1,1,,2,,,,,,,2,6,,,,,,2B,,2021,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Mountain,575 ,60,90,Independent,,,,,,,,,,,,,,3,,,,,,,1,4,,,,,,,,,U.S. - East
,Kitzsteinhorn,"7,412 ",,295,Independent,Epic,1,1,5,,,,3,1,1,,,,1,,,4,5,,,,23,5S,,,,,,,2025,Europe - Austria,,,U.S. - Maine,Big Moose,583 ,,136,Independent,Indy,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,2,,2024,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Song Mountain,700 ,100,125,Intermountain Management,,,,,,,,,,,,2,,2,,,,,,,,4,,,,,,,,,U.S. - East
,Mayrhofen,"6,080 ",,315,Independent,Epic,2,,6,,,3,11,1,3,,,,,,,5,6,,7,16,60,5CS,,,,,,,2025,Europe - Austria,,,,Bigrock,920 ,90,94,Independent,Indy,,,,,,,,,,1,1,,,,,,,,,1,3,,,,,,2,,2022,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thunder Ridge,600 ,100,60,Independent,,,,,,,,,,,,1,,2,,,,,,,5,8,,,,,,,,,U.S. - East
,Obertauern,"2,241 ",,315,,Indy,,,1,,,1,6,2,5,3,,,2,,,2,3,,,1,26,,,,,,2,,2026,Europe - Austria,,,,Black Mountain of Maine,"1,150 ",300,120,Independent,Indy,,,,,,,,,,,1,,1,,,1,,,1,,4,,,,,,2,,2022,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Val Bialis,400 ,,,Independent,,,,,,,,,,,,,,1,,,,,,1,,2,,,,,,,,,U.S. - East
,Petzen ,"4,101 ",,,,Indy,,,1,,,,,,,1,,,,,,1,,2,1,2,8,,,,,,2,,2026,Europe - Austria,,,,Camden Snow Bowl,850 ,105,50,Independent,Indy,,,,,,,,,,,1,,1,,,,,,,1,3,,,,,,2,,2024,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victor Constant,475 ,,39,Independent,,,,,,,,,,,,1,,,,,,,,1,,2,,,,,,,,,U.S. - East
,Pitztaler Gletscherbahn,"5,774 ",,394,,Indy,1,,2,,,,1,,,,,,,,,1,1,,,1,7,,,,,,2B,,2025,Europe - Austria,,,,Lost Valley,240 ,45,99,Independent,Indy,,,,,,,,,,,,,3,,,,,,,1,4,,,,,,2,,2024,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villa Roma,190 ,,,Independent,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,U.S. - East
,Rauriser-Hochalmbahnen,"4,019 ",,177,Independent,Indy,,,3,,,,,,,,,,1,,,3,,1,2,,10,,,,,,2,,2025,Europe - Austria,,,,Mount Abram,"1,050 ",170,115,Independent,Indy,,,,,,,,,,,,,2,,,1,,,,1,4,,,,,,2,,2024,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Willard,505 ,85,80,Independent,,,,,,,,,,,,,,2,,,,,,2,1,5,,,,,,,,,U.S. - East
,Saalbach,"4,282 ",,236,Independent,Epic,,,29,,,6,12,,2,2,,,,,,3,12,,2,1,69,5S,,,,,,,2025,Europe - Austria,,,,Pleasant Mountain,"1,300 ",249,110,Boyne Resorts,Snow Pass,,,,,,,,,1,1,2,,,,,,,,,2,6,,,,,,,,2026,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windham,"1,600 ",285,105,Independent,,,,,,,,1,,3,,1,,1,,,,,,,5,11,,,,,,,,,U.S. - East
,Silvretta Montafon,"5,675 ",,180,Independent,Epic,2,,8,,,3,5,,,3,,1,6,,,2,2,,1,2,35,5C,,,,,,,2025,Europe - Austria,,,,Saddleback,"1,850 ",600,225,Independent,Indy,,,,,,,,,1,3,,,,,,,1,,,1,6,,,,,,2,,2021,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woods Valley,500 ,25,74,Independent,,,,,,,,,,,1,,,2,,,,,,,2,5,,,,,,,,,U.S. - East
,Ski Arlberg,"4,944 ",,355,Independent,Epic,5,,12,,,1,17,1,9,4,,,11,,,6,15,,3,1,85,3CLo,,,,,,,2016,Europe - Austria,,,,Sugarloaf,"2,748 ","1,360",200,Boyne Resorts,"Ikon, MC",,,,,,,,,3,3,1,,5,,,2,,,,1,15,,,7,5B,"1-4, B, S",,2,"2018, 2020",U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - North Carolina,Appalchian Ski Mountain,365 ,27,27,Independent,,,,,,,,,,,2,,,1,,,,,,1,2,6,,,,,,,,,U.S. - East
,Ski Welt,"4,098 ",,157,Independent,Indy,,,16,,,6,11,1,2,10,1,,2,,,4,,9,8,11,81,,,,,,2,,2023,Europe - Austria,,,,Sunday River,"2,350 ","1,184",167,Boyne Resorts,"Ikon, MC",,,,,,1,1,1,2,5,5,,1,,,1,,,,3,20,,,7,5B,"1-4, B, S",,2,"2018, 2024",U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beech Mountain,831 ,95,84,Independent,,,,,,,,,,,4,,,2,,,,,,1,2,9,,,,,,,,,U.S. - East
,Sölden,"6,529 ",,230,Independent,Epic,,,7,,,3,4,,4,1,,,1,,,6,1,,,2,30,5,,,,,,,2025,Europe - Austria,,,U.S. - Maryland,Wisp,700 ,132,100,Pacific Group Resorts,Indy,,,,,,,,,,2,5,,,,,,,,1,5,13,,,,,,2,,2024,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sapphire Valley,200 ,8,24,Independent,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,,,,,U.S. - East
,St. Johann (in Tirol/Oberndorf-Harschbichl),"3,100 ",,,,Indy,,,5,,,,1,,1,,,,,,,,,2,,,9,,,,,,2,,2026,Europe - Austria,,,U.S. - Massachusetts,Berkshire East,"1,180 ",180,110,Bear Den Partners,Indy,,,,,,,,,1,2,,,1,,,,,,,2,6,,,,,,2,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sugar Mountain,"1,200 ",115,70,Independent,,,,,,,,1,,2,1,,,2,,,,,,,1,7,,,,,,,,,U.S. - East
,Steinplatte Tyrol,"3,674 ",,,,Indy,,,2,,,2,4,,2,1,,,,,,3,,,,,14,,,,,,2,,2025,Europe - Austria,,,,Blue Hills,309 ,60,,Independent,Snow Pass,,,,,,,,,,,,,1,,,,,,2,3,6,,,,,,,,2026,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Ohio,Snow Trails,301 ,80,52,Independent,,,,,,,,,,,,4,,2,,,,,,2,2,10,,,,,,,,,U.S. - Midwest
Europe - Finland,Levi,"1,099 ",370,50,,Indy,1,,1,,,,6,,,,,,,,,10,,5,,3,26,,,,,,2B,,2025,Europe - Finland,,,,Bousquet,750 ,200,83,Independent,Indy,,,,,,,,,,,1,,1,,,,,,,1,3,,,,,,2,,2024,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Oregon,Anthony Lakes,900 ,"1,000",250,Independent,,,,,,,,,,,,1,,,,,,,,1,1,3,,,,,,,,,U.S. - West
,Pyhä Ski Resort,974 ,,,,Indy,,,,,,,1,,1,,1,,,,,3,,2,,1,9,,,,,,2,,2026,Europe - Finland,,,,Butternut,"1,000 ",110,110,Murdock Family,"Snow Pass, Ikon",,,,,,,,,,5,,,,,,,,,,4,9,,,2B,,,,,"2024, 2025, 2026",U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mount Ashland,"1,106 ",223,285,Independent,,,,,,,,,,,,3,,2,,,,,,,1,6,,,,,,,,2024,U.S. - West
,Ruka,659 ,,,,Indy,,,,1,,1,2,,1,,1,,,,,7,,2,1,6,22,,,,,,2,,2026,Europe - Finland,,,,Catamount,"1,000 ",133,108,Bear Den Partners,Indy,,,,,,,,,,2,3,,,,,,,,,3,8,,,,,,2,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mount Hood Skibowl,"1,377 ",960,250,Independent,,,,,,,,,,,,,,4,,,,,1,2,2,9,,,,,,,,,U.S. - West
Europe - France,Chamonix Mont-Blanc Valley,"8,996 ","29,405",264,Compagnie des Alps,"Ikon, MC",4,,7,1,,,5,,3,11,3,,,,,,,28,3,4,73,,,7,5,,,2,2022,Europe - France,,,,Jiminy Peak,"1,150 ",167.4,100,Fairbank Group,Ikon,,,,,,,1,,,2,3,,1,,,,,,,2,9,,,2B,,,,,2025,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timberline Lodge ,"4,499 ","1,685",540,Independent,,,,,,,,,,6,,,,2,,,,,,,1,9,,,,,,,,,U.S. - West
,Les 3 Vallées,"6,988 ","29,950",,Compagnie des Alps,Epic,4,4,30,1,2,1,39,,3,,2,,,,,,35,,3,24,149,7C,,,,,,,2016,Europe - France,,,U.S. - Michigan,Big Powderhorn (UP),622 ,253,204,Independent,Indy,,,,,,,,,,,,,9,,,,,,1,,10,,,,,,2,,2019,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Pennsylvania,Boyce Park,166 ,25,36,Independent,,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,,,,U.S. - East
,Les 7 Laux,"3,445 ",,,,Indy,,,,,,,3,1,2,3,,,,,,3,10,,,2,24,,,,,,2,,2026,Europe - France,,,,Boyne Mountain,420 ,435,140,Boyne Resorts,Ikon,,,,,,1,1,,,4,1,,2,,,,,,,1,10,,,7,5B,"1-4, B, S",,,2018,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elk Mountain,925 ,180,65,Independent,,,,,,,,,,,1,,,5,,,,,,1,,7,,,,,,,,,U.S. - East
,Les Contamines Montjoie (inc. Hauteluce for lifts),"4,341 ",,,,Indy,,,4,,,,3,,3,2,,,,,,,,12,,,24,,,YES,YES,,2,YES,2026,Europe - France,,,,Caberfae Peaks,485 ,200,120,Independent,Ikon,,,,,,,,,,1,3,,,,,,,,,1,5,,,2B,,,,,2026,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mount Pleasant,320 ,35,150,Independent,,,,,,,,,,,,1,,,,,,,1,,1,3,,,,,,,,,U.S. - East
,Megève,"2,956 ",,126,Compagnie des Alps,"Ikon, MC",2,,10,,,,12,,6,12,2,,2,,,,,49,5,8,108,,,7,5,,,2,"2024, 2025",Europe - France,,,,Crystal Mountain MI,375 ,103,132,Independent,Indy,,,,,,,,,1,3,2,,,,,,,,,2,8,,,,,,2B,,2020,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Rhode Island,Yawgoo,240 ,36,39,Independent,,,,,,,,,,,,,,2,,,,,,1,,3,,,,,,,,,U.S. - East
,Orcières Merlette 1850,"2,871 ",,,,Indy,,,,,,,2,3,,2,,,1,,,,,13,1,4,26,,,,,,2,,2026,Europe - France,,,,Marquette Mountain (UP),540 ,330,210,Independent,Indy,,,,,,,,,,,2,,1,,,,,,1,,4,,,,,,2,,2022,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Utah,Powder Mountain,"1,995 ","5,000",345,Independent,,,,,,,,,,5,7,,,,,,,,1,1,1,15,,,,,,,,,U.S. - West
,Valmorel (Le Grand Domaine),"4,147 ",,,,Indy,,,3,,1,,7,,1,5,,,1,,,,25,,1,2,46,,,,,,2,,2026,Europe - France,,,,Mont Ripley (UP),470 ,115,275,Independent,Indy,,,,,,,,,,,,,2,,,1,,,1,,4,,,,,,Discount,,2023,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woodward Park City,349 ,,150,Powdr,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,U.S. - West
Europe - Germany,Oberstdorf-Kleinwalsertal,"4,632 ","19,136",120,,Indy,,,,,,,,,,,,,,,,,,,,,48,,,,,,2,,2025,Europe - Germany,,,,Mount Brighton,230 ,130,60,Vail Resorts,Epic,,,,,,,,,,2,3,,,,,,,,5,2,12,U,U,,,,,,2013,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Vermont,Bromley,"1,334 ",178,145,Fairbank Group,,,,,,,,,,1,1,,,4,,,1,,,,2,9,,,,,,,,,U.S. - East
Europe - Italy,Dolomiti Superski,"5,954 ","29,652",,Independent,Ikon,,,,,,,,,,,,,,,,,,,,,450,,,7,5,,,,2021,Europe - Italy,,,,Mount Holiday,200 ,45,120,Independent,Indy,,,,,,,,,,,,,2,,,,,,,,2,,,,,,2,,2024,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mad River Glen,"2,037 ",915,228,Independent,,,,,,,,,,,,,,3,,1,,,,1,,5,,,,,,,,,U.S. - East
,Pila,"3,097 ",865,97,Independent,Indy,1,,5,,,,1,,2,1,2,,2,,,,,,,4,18,,,,,,2,,2025,Europe - Italy,,,,Norway Mountain (UP),500 ,160,33,Independent,Indy,,,,,,,,,,,1,,2,,,,,,3,,6,,,,,,2,,2024,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quechee,650 ,100,70,Independent,,,,,,,,,,,1,,,,,,1,,,1,,3,,,,,,,,,U.S. - East
,Skirama Dolomiti,"5,689 ",,110,Independent,Epic,,,,,,,,,,,,,,,,,,,,,150,7C,,,,,,,2016,Europe - Italy,,,,Nub’s Nob,425 ,248,125,Independent,Indy,,,,,,,,,,4,3,,1,,,,,,1,1,10,,,,,,2B,,2022,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Virginia,Homestead,700 ,45,50,Omni Hotels,,,,,,,,,,,,,,1,,,,,,1,,2,,,,,,,,,U.S. - East
,Valle d'Aosta,,,,Independent,Ikon,,,,,,,,,,,,,,,,,,,,,147,,,7,5,,,,2025,Europe - Italy,,,,Pine Mountain (UP),364 ,220,30,Independent,Indy,,,,,,,,,,,1,,2,,,,,,3,,6,,,,,,2,,2019,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Washington,Mission Ridge,"2,250 ","2,000",200,Larry Scrivanich,,,,,,,,,,1,,,,3,,,,,,2,1,7,,,,,,,,,U.S. - West
Europe - Norway,Norejfell,"3,314 ",,71,,Indy,,,,,,,1,,1,,,,1,,,5,4,,1,2,15,,,,,,2,,2025,Europe - Norway,,,,Shanty Creek - Schuss,500 ,81,160,Independent,Indy,,,,,,,,,,5,,,2,,,,,,1,1,9,,,,,,2B,,2019,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. Baker,"1,489 ","1,000",688,Independent,,,,,,,,,,,7,,,,,,,,,2,,9,,,,,,,,,U.S. - West
,Stranda Ski Resort (Strandafjellet?),"2,625 ",,,,Indy,,,,,,,,1,1,,,,,,,2,2,,,1,7,,,,,,2,,2026,Europe - Norway,,,,Snowriver: Black River (UP),490 ,170,204,Midwest Family Ski Resorts,Ikon,,,,,,,,,,,,,4,,,,,,1,,5,,,"7, S","5, B, S","1-4, B, S",,,2026,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. Spokane,"2,071 ","1,704",300,Independent,,,,,,,,,,,,1,,5,,,,,,1,1,8,,,,,,,,2022,U.S. - West
